state_abr,fips,county,square_km,lat,lng
NY,3695,Schoharie,"1.622,18",42.591294,-74.438172
NY,3641,Hamilton,"4.682,19",43.657879,-74.502456
NY,36105,Sullivan,"2.581,50",41.720176,-74.76468
NY,3643,Herkimer,"3.776,09",43.461635,-74.894694
NY,3625,Delaware,"3.800,67",42.193987,-74.966728
NY,3677,Otsego,"2.630,79",42.629776,-75.028841
NY,3689,St. Lawrence,"7.307,49",44.488113,-75.074311
NY,3665,Oneida,"3.257,31",43.242727,-75.434282
NY,3649,Lewis,"3.340,99",43.786397,-75.442617
NY,3617,Chenango,"2.327,44",42.489732,-75.604905
NY,3653,Madison,"1.712,72",42.910026,-75.663575
NY,367,Broome,"1.853,17",42.161977,-75.830291
NY,3645,Jefferson,"4.810,18",43.995371,-76.053522
NY,3623,Cortland,"1.298,93",42.593824,-76.076265
NY,3667,Onondaga,"2.086,54",43.00653,-76.196117
NY,3675,Oswego,"3.398,28",43.461443,-76.209258
NY,36107,Tioga,"1.354,25",42.178057,-76.29745
NY,36109,Tompkins,"1.273,13",42.453281,-76.473712
NY,3611,Cayuga,"2.236,90",43.008546,-76.574587
NY,3615,Chemung,"1.063,91",42.155281,-76.747179
NY,3699,Seneca,"1.011,23",42.782294,-76.827088
NY,3697,Schuyler,"886,626",42.419776,-76.938604
NY,36117,Wayne,"3.582,09",43.458758,-77.063164
NY,36123,Yates,"973,291",42.638237,-77.104324
NY,3669,Ontario,"1.715,94",42.856695,-77.303277
NY,36101,Steuben,"3.636,56",42.266725,-77.385525
NY,3655,Monroe,"3.539,81",43.464475,-77.664656
NY,3651,Livingston,"1.658,26",42.727485,-77.76978
NY,363,Allegany,"2.679,05",42.247894,-78.026176
NY,3637,Genesee,"1.282,84",43.00091,-78.192778
NY,36121,Wyoming,"1.544,38",42.701363,-78.228567
NY,3673,Orleans,"2.117,11",43.502287,-78.229726
NY,369,Cattaraugus,"3.425,22",42.244853,-78.681006
NY,3629,Erie,"3.177,54",42.752759,-78.778192
